add
('parameter', 0.7555267810821533)
('an', 0.7555249929428101)
('project', 0.754370927810669)
('if', 0.7543479204177856)
('window', 0.7513865232467651)
('console', 0.7505083680152893)
('action', 0.7497222423553467)
('option', 0.7452325820922852)
('test', 0.7445719838142395)
('after', 0.744047999382019)
('files', 0.7432795763015747)
('new', 0.7425987720489502)
('class', 0.7414728403091431)
('default', 0.740074634552002)
('settings', 0.7399219274520874)
('New', 0.7380561828613281)
('import', 0.7357375025749207)
('custom', 0.735725998878479)
('extension', 0.7296884059906006)
('command', 0.7291705012321472)
('method', 0.7290492057800293)
('color', 0.7283099293708801)
('tool', 0.724141538143158)
('point', 0.723470151424408)
('git', 0.7207837104797363)
('Use', 0.7185883522033691)
('code', 0.712309718132019)
('commit', 0.7117257118225098)
('added', 0.7110559940338135)
('-', 0.7107498049736023)
('make', 0.7083213329315186)
('build', 0.7072582840919495)
('version', 0.7035257816314697)
('error', 0.7021705508232117)
('config', 0.7006824016571045)
('[Fernflower]', 0.7001848220825195)
('one', 0.6971548795700073)
('fix', 0.6970399618148804)
('popup', 0.6946488618850708)
('Gradle', 0.6910147666931152)
("Don't", 0.6897528171539307)
('more', 0.6893026232719421)
('Added', 0.6880146861076355)
('branch', 0.6842551231384277)
('ability', 0.6817091107368469)
('Fixed', 0.6812680959701538)
('Allow', 0.6805609464645386)
('Support', 0.6804147362709045)
('always', 0.6736108660697937)
('classes', 0.6734962463378906)
('does', 0.6698325872421265)
('first', 0.6695007681846619)
('Groovy', 0.6692124605178833)
('instead', 0.6671431660652161)
('plugins', 0.6652999520301819)
('inspection', 0.6650370955467224)
('Python', 0.6608473658561707)
('comments', 0.6607310771942139)
('field', 0.6589446067810059)
('being', 0.6588901281356812)
('Ant', 0.6585216522216797)
('inner', 0.6582672595977783)
('Java', 0.6573790311813354)
('relative', 0.6566027402877808)
('Remove', 0.6555684208869934)
('Make', 0.6551986932754517)
fix
('of', 0.8211432695388794)
('to', 0.8134109377861023)
('in', 0.8113143444061279)
('on', 0.8087164163589478)
('for', 0.7993974089622498)
('the', 0.7989071607589722)
('is', 0.7924696803092957)
('Fix', 0.7866690158843994)
('with', 0.786126971244812)
('by', 0.7855477929115295)
('be', 0.7847326993942261)
('not', 0.7836877703666687)
('Add', 0.7808734178543091)
('file', 0.7801651358604431)
('from', 0.7738572359085083)
('when', 0.7734823226928711)
('and', 0.7728182077407837)
('are', 0.7704582214355469)
('line', 0.7692164182662964)
('a', 0.768187403678894)
('that', 0.7667942047119141)
('if', 0.7585684061050415)
('window', 0.7527472376823425)
('plugin', 0.7519396543502808)
('name', 0.7443011999130249)
('one', 0.7439168691635132)
('test', 0.7413389682769775)
