file
('with', 0.9999080896377563)
('command', 0.9998542666435242)
('file', 0.9998340606689453)
('window', 0.9998319149017334)
('open', 0.9998078346252441)
('and', 0.9998013377189636)
('extensions', 0.9997552037239075)
('be', 0.9997429251670837)
('editor', 0.9997197389602661)
('code', 0.9996853470802307)
('from', 0.9994164705276489)
('can', 0.9994005560874939)
('extension', 0.9992734789848328)
('after', 0.9992456436157227)
('work', 0.9992320537567139)
('show', 0.9992251396179199)
('to', 0.9991478323936462)
('does', 0.9991438388824463)
('in', 0.9991154670715332)
('same', 0.9990626573562622)
('new', 0.9990383386611938)
('search', 0.9990236759185791)
('update', 0.9989503622055054)
('an', 0.9988324642181396)
('if', 0.9987928867340088)
('opened', 0.9987861514091492)
('using', 0.998778223991394)
('Code', 0.9987707138061523)
('VS', 0.9987464547157288)
("doesn't", 0.9987406730651855)
('it', 0.9986891150474548)
('interactive', 0.9986355900764465)
('cell', 0.9985982775688171)
('cursors', 0.998589277267456)
('settings', 0.9985330104827881)
('on', 0.9984611868858337)
('expected', 0.9984581470489502)
('workspace', 0.9983558654785156)
('as', 0.9983456134796143)
('files', 0.9983444809913635)
('The', 0.9983261823654175)
('text', 0.9983199238777161)
('working', 0.9983097314834595)
('created', 0.9983090162277222)
('that', 0.9982713460922241)
('debug', 0.99825119972229)
('context', 0.9982320070266724)
('Add', 0.9982243180274963)
('line', 0.9981999397277832)
('delete', 0.9981756210327148)
('notebook', 0.9981324076652527)
('integrated', 0.998093843460083)
('folder', 0.9980124235153198)
('latest', 0.9980008006095886)
('are', 0.9979997873306274)
('focus', 0.9979389309883118)
('do', 0.9979374408721924)
('change', 0.997927725315094)
('opening', 0.9979133605957031)
('menu', 0.9979084134101868)
('I', 0.9978832006454468)
('trying', 0.9978393316268921)
('1.48.2', 0.9977977275848389)
('for', 0.9976941347122192)
('loaded', 0.9976578950881958)
('explorer', 0.9976035356521606)
('location', 0.9975760579109192)
('groups', 0.9975733160972595)
('vscode', 0.9975674152374268)
('Terminal', 0.9975622296333313)
('Notebook', 0.997556209564209)
('properly', 0.9975481033325195)
('different', 0.9975405335426331)
('tab', 0.997516393661499)
('configured', 0.9974821209907532)
('opens', 0.9974631667137146)
('pressing', 0.9974578619003296)
('Unable', 0.9974265098571777)
('clicks', 0.9973771572113037)
('specified', 0.997360110282898)
('the', 0.997313916683197)
('not', 0.9972944855690002)
('prevent', 0.9972819089889526)
