add
('before', 0.9999291300773621)
('files', 0.9999290108680725)
('terminal', 0.9999289512634277)
('an', 0.999928891658783)
('setting', 0.9999286532402039)
('Support', 0.9999285936355591)
('update', 0.9999277591705322)
('view', 0.9999276399612427)
('extensions', 0.9999275207519531)
('text', 0.9999269843101501)
('widget', 0.9999268054962158)
('action', 0.9999257922172546)
('no', 0.9999250769615173)
('fix', 0.9999250173568726)
('tab', 0.9999245405197144)
('only', 0.9999243021011353)
('language', 0.9999240636825562)
('TS', 0.9999240636825562)
('state', 0.999923825263977)
('folder', 0.9999237656593323)
('empty', 0.9999231100082397)
('into', 0.9999231100082397)
('actions', 0.999923050403595)
('Show', 0.9999228715896606)
('search', 0.9999226331710815)
('service', 0.9999216198921204)
('Remove', 0.9999212026596069)
('Markdown', 0.9999211430549622)
('editors', 0.9999204277992249)
('message', 0.9999204277992249)
('or', 0.9999203681945801)
('list', 0.9999185800552368)
('remove', 0.9999178051948547)
('name', 0.99991774559021)
('API', 0.9999175071716309)
('Terminal', 0.9999173879623413)
('button', 0.9999173879623413)
('debug', 0.9999168515205383)
('using', 0.9999160766601562)
('custom', 0.9999158978462219)
('Move', 0.999915599822998)
('selection', 0.9999154210090637)
('path', 0.9999150037765503)
('task', 0.9999148845672607)
('work', 0.9999147653579712)
